datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/15/2020 2:00:00 PM,9/15/2020 10:00:00 AM,RTO,0.000
9/15/2020 2:00:00 PM,9/15/2020 10:00:00 AM,SOUTH,0.000
9/15/2020 2:00:00 PM,9/15/2020 10:00:00 AM,WEST,0.000
9/15/2020 1:00:00 PM,9/15/2020 9:00:00 AM,MIDATL,0.000
9/15/2020 1:00:00 PM,9/15/2020 9:00:00 AM,RFC,0.000
9/15/2020 1:00:00 PM,9/15/2020 9:00:00 AM,RTO,0.000
9/15/2020 1:00:00 PM,9/15/2020 9:00:00 AM,SOUTH,0.000
9/15/2020 1:00:00 PM,9/15/2020 9:00:00 AM,WEST,0.000
9/15/2020 12:00:00 PM,9/15/2020 8:00:00 AM,MIDATL,0.000
9/15/2020 12:00:00 PM,9/15/2020 8:00:00 AM,RFC,0.000
9/15/2020 12:00:00 PM,9/15/2020 8:00:00 AM,RTO,0.000
9/15/2020 12:00:00 PM,9/15/2020 8:00:00 AM,SOUTH,0.000
9/15/2020 12:00:00 PM,9/15/2020 8:00:00 AM,WEST,0.000
9/15/2020 11:00:00 AM,9/15/2020 7:00:00 AM,MIDATL,0.000
9/15/2020 11:00:00 AM,9/15/2020 7:00:00 AM,RFC,0.000
9/15/2020 11:00:00 AM,9/15/2020 7:00:00 AM,RTO,0.000
9/15/2020 11:00:00 AM,9/15/2020 7:00:00 AM,SOUTH,0.000
9/15/2020 11:00:00 AM,9/15/2020 7:00:00 AM,WEST,0.000
9/15/2020 10:00:00 AM,9/15/2020 6:00:00 AM,MIDATL,0.000
9/15/2020 10:00:00 AM,9/15/2020 6:00:00 AM,RFC,0.000
9/15/2020 10:00:00 AM,9/15/2020 6:00:00 AM,RTO,0.000
9/15/2020 10:00:00 AM,9/15/2020 6:00:00 AM,SOUTH,0.000
9/15/2020 10:00:00 AM,9/15/2020 6:00:00 AM,WEST,0.000
9/15/2020 9:00:00 AM,9/15/2020 5:00:00 AM,MIDATL,0.000
9/15/2020 9:00:00 AM,9/15/2020 5:00:00 AM,SOUTH,0.000
9/15/2020 9:00:00 AM,9/15/2020 5:00:00 AM,WEST,0.000
9/15/2020 9:00:00 AM,9/15/2020 5:00:00 AM,RTO,0.000
9/15/2020 9:00:00 AM,9/15/2020 5:00:00 AM,RFC,0.000
9/15/2020 8:00:00 AM,9/15/2020 4:00:00 AM,MIDATL,0.000
9/15/2020 8:00:00 AM,9/15/2020 4:00:00 AM,SOUTH,0.000
9/15/2020 8:00:00 AM,9/15/2020 4:00:00 AM,WEST,0.000
9/15/2020 8:00:00 AM,9/15/2020 4:00:00 AM,RTO,0.000
9/15/2020 8:00:00 AM,9/15/2020 4:00:00 AM,RFC,0.000
9/15/2020 7:00:00 AM,9/15/2020 3:00:00 AM,MIDATL,0.000
9/15/2020 7:00:00 AM,9/15/2020 3:00:00 AM,SOUTH,0.000
9/15/2020 7:00:00 AM,9/15/2020 3:00:00 AM,WEST,0.000
9/15/2020 7:00:00 AM,9/15/2020 3:00:00 AM,RTO,0.000
9/15/2020 7:00:00 AM,9/15/2020 3:00:00 AM,RFC,0.000
9/15/2020 6:00:00 AM,9/15/2020 2:00:00 AM,MIDATL,0.000
9/15/2020 6:00:00 AM,9/15/2020 2:00:00 AM,SOUTH,0.000
9/15/2020 6:00:00 AM,9/15/2020 2:00:00 AM,WEST,0.000
9/15/2020 6:00:00 AM,9/15/2020 2:00:00 AM,RTO,0.000
9/15/2020 6:00:00 AM,9/15/2020 2:00:00 AM,RFC,0.000
9/15/2020 5:00:00 AM,9/15/2020 1:00:00 AM,MIDATL,0.000
9/15/2020 5:00:00 AM,9/15/2020 1:00:00 AM,SOUTH,0.000
9/15/2020 5:00:00 AM,9/15/2020 1:00:00 AM,WEST,0.000
9/15/2020 5:00:00 AM,9/15/2020 1:00:00 AM,RTO,0.000
9/15/2020 5:00:00 AM,9/15/2020 1:00:00 AM,RFC,0.000
9/15/2020 4:00:00 AM,9/15/2020 12:00:00 AM,MIDATL,0.000
9/15/2020 4:00:00 AM,9/15/2020 12:00:00 AM,SOUTH,0.000
9/15/2020 4:00:00 AM,9/15/2020 12:00:00 AM,WEST,0.000
9/15/2020 4:00:00 AM,9/15/2020 12:00:00 AM,RTO,0.000
9/15/2020 4:00:00 AM,9/15/2020 12:00:00 AM,RFC,0.000
9/15/2020 3:00:00 AM,9/14/2020 11:00:00 PM,MIDATL,0.000
9/15/2020 3:00:00 AM,9/14/2020 11:00:00 PM,SOUTH,0.000
9/15/2020 3:00:00 AM,9/14/2020 11:00:00 PM,WEST,0.000
9/15/2020 3:00:00 AM,9/14/2020 11:00:00 PM,RTO,0.000
9/15/2020 3:00:00 AM,9/14/2020 11:00:00 PM,RFC,0.000
9/15/2020 2:00:00 AM,9/14/2020 10:00:00 PM,MIDATL,0.000
9/15/2020 2:00:00 AM,9/14/2020 10:00:00 PM,SOUTH,0.000
9/15/2020 2:00:00 AM,9/14/2020 10:00:00 PM,WEST,0.000
9/15/2020 2:00:00 AM,9/14/2020 10:00:00 PM,RTO,0.000
9/15/2020 2:00:00 AM,9/14/2020 10:00:00 PM,RFC,0.000
9/15/2020 1:00:00 AM,9/14/2020 9:00:00 PM,MIDATL,0.000
9/15/2020 1:00:00 AM,9/14/2020 9:00:00 PM,SOUTH,0.000
9/15/2020 1:00:00 AM,9/14/2020 9:00:00 PM,WEST,0.000
9/15/2020 1:00:00 AM,9/14/2020 9:00:00 PM,RTO,0.000
9/15/2020 1:00:00 AM,9/14/2020 9:00:00 PM,RFC,0.000
9/15/2020 12:00:00 AM,9/14/2020 8:00:00 PM,MIDATL,0.000
9/15/2020 12:00:00 AM,9/14/2020 8:00:00 PM,SOUTH,0.000
9/15/2020 12:00:00 AM,9/14/2020 8:00:00 PM,WEST,0.000
9/15/2020 12:00:00 AM,9/14/2020 8:00:00 PM,RTO,0.000
9/15/2020 12:00:00 AM,9/14/2020 8:00:00 PM,RFC,0.000
9/14/2020 11:00:00 PM,9/14/2020 7:00:00 PM,MIDATL,0.000
9/14/2020 11:00:00 PM,9/14/2020 7:00:00 PM,SOUTH,0.000
9/14/2020 11:00:00 PM,9/14/2020 7:00:00 PM,WEST,0.000
9/14/2020 11:00:00 PM,9/14/2020 7:00:00 PM,RTO,0.000
9/14/2020 11:00:00 PM,9/14/2020 7:00:00 PM,RFC,0.000
9/14/2020 10:00:00 PM,9/14/2020 6:00:00 PM,MIDATL,0.000
9/14/2020 10:00:00 PM,9/14/2020 6:00:00 PM,SOUTH,0.000
9/14/2020 10:00:00 PM,9/14/2020 6:00:00 PM,WEST,0.000
9/14/2020 10:00:00 PM,9/14/2020 6:00:00 PM,RTO,0.000
9/14/2020 10:00:00 PM,9/14/2020 6:00:00 PM,RFC,0.000
9/14/2020 9:00:00 PM,9/14/2020 5:00:00 PM,MIDATL,0.000
9/14/2020 9:00:00 PM,9/14/2020 5:00:00 PM,SOUTH,0.000
9/14/2020 9:00:00 PM,9/14/2020 5:00:00 PM,WEST,0.000
9/14/2020 9:00:00 PM,9/14/2020 5:00:00 PM,RTO,0.000
9/14/2020 9:00:00 PM,9/14/2020 5:00:00 PM,RFC,0.000
9/14/2020 8:00:00 PM,9/14/2020 4:00:00 PM,MIDATL,0.000
9/14/2020 8:00:00 PM,9/14/2020 4:00:00 PM,SOUTH,0.000
9/14/2020 8:00:00 PM,9/14/2020 4:00:00 PM,WEST,0.000
9/14/2020 8:00:00 PM,9/14/2020 4:00:00 PM,RTO,0.000
9/14/2020 8:00:00 PM,9/14/2020 4:00:00 PM,RFC,0.000
9/14/2020 7:00:00 PM,9/14/2020 3:00:00 PM,MIDATL,0.000
9/14/2020 7:00:00 PM,9/14/2020 3:00:00 PM,SOUTH,0.000
9/14/2020 7:00:00 PM,9/14/2020 3:00:00 PM,WEST,0.000
9/14/2020 7:00:00 PM,9/14/2020 3:00:00 PM,RTO,0.000
9/14/2020 7:00:00 PM,9/14/2020 3:00:00 PM,RFC,0.000
9/14/2020 6:00:00 PM,9/14/2020 2:00:00 PM,MIDATL,0.000
9/14/2020 6:00:00 PM,9/14/2020 2:00:00 PM,SOUTH,0.000
9/14/2020 6:00:00 PM,9/14/2020 2:00:00 PM,WEST,0.000
9/14/2020 6:00:00 PM,9/14/2020 2:00:00 PM,RTO,0.000
9/14/2020 6:00:00 PM,9/14/2020 2:00:00 PM,RFC,0.000
9/14/2020 5:00:00 PM,9/14/2020 1:00:00 PM,MIDATL,0.000
9/14/2020 5:00:00 PM,9/14/2020 1:00:00 PM,SOUTH,0.000
9/14/2020 5:00:00 PM,9/14/2020 1:00:00 PM,WEST,0.000
9/14/2020 5:00:00 PM,9/14/2020 1:00:00 PM,RTO,0.000
9/14/2020 5:00:00 PM,9/14/2020 1:00:00 PM,RFC,0.000
9/14/2020 4:00:00 PM,9/14/2020 12:00:00 PM,MIDATL,0.000
9/14/2020 4:00:00 PM,9/14/2020 12:00:00 PM,SOUTH,0.000
9/14/2020 4:00:00 PM,9/14/2020 12:00:00 PM,WEST,0.000
9/14/2020 4:00:00 PM,9/14/2020 12:00:00 PM,RTO,0.000
9/14/2020 4:00:00 PM,9/14/2020 12:00:00 PM,RFC,0.000
9/14/2020 3:00:00 PM,9/14/2020 11:00:00 AM,MIDATL,0.000
9/14/2020 3:00:00 PM,9/14/2020 11:00:00 AM,SOUTH,0.000
9/14/2020 3:00:00 PM,9/14/2020 11:00:00 AM,WEST,0.000
9/14/2020 3:00:00 PM,9/14/2020 11:00:00 AM,RTO,0.000
9/14/2020 3:00:00 PM,9/14/2020 11:00:00 AM,RFC,0.000
9/14/2020 2:00:00 PM,9/14/2020 10:00:00 AM,MIDATL,0.000
9/14/2020 2:00:00 PM,9/14/2020 10:00:00 AM,SOUTH,0.000
9/14/2020 2:00:00 PM,9/14/2020 10:00:00 AM,WEST,0.000
9/14/2020 2:00:00 PM,9/14/2020 10:00:00 AM,RTO,0.000
9/14/2020 2:00:00 PM,9/14/2020 10:00:00 AM,RFC,0.000
9/14/2020 1:00:00 PM,9/14/2020 9:00:00 AM,MIDATL,0.000
9/14/2020 1:00:00 PM,9/14/2020 9:00:00 AM,SOUTH,0.000
9/14/2020 1:00:00 PM,9/14/2020 9:00:00 AM,WEST,0.000
9/14/2020 1:00:00 PM,9/14/2020 9:00:00 AM,RTO,0.000
9/14/2020 1:00:00 PM,9/14/2020 9:00:00 AM,RFC,0.000
9/14/2020 12:00:00 PM,9/14/2020 8:00:00 AM,MIDATL,0.000
9/14/2020 12:00:00 PM,9/14/2020 8:00:00 AM,SOUTH,0.000
9/14/2020 12:00:00 PM,9/14/2020 8:00:00 AM,WEST,0.000
9/14/2020 12:00:00 PM,9/14/2020 8:00:00 AM,RTO,0.000
9/14/2020 12:00:00 PM,9/14/2020 8:00:00 AM,RFC,0.000
9/14/2020 11:00:00 AM,9/14/2020 7:00:00 AM,MIDATL,0.000
9/14/2020 11:00:00 AM,9/14/2020 7:00:00 AM,SOUTH,0.000
9/14/2020 11:00:00 AM,9/14/2020 7:00:00 AM,WEST,0.000
9/14/2020 11:00:00 AM,9/14/2020 7:00:00 AM,RTO,0.000
9/14/2020 11:00:00 AM,9/14/2020 7:00:00 AM,RFC,0.000
9/14/2020 10:00:00 AM,9/14/2020 6:00:00 AM,MIDATL,0.000
9/14/2020 10:00:00 AM,9/14/2020 6:00:00 AM,SOUTH,0.000
9/14/2020 10:00:00 AM,9/14/2020 6:00:00 AM,WEST,0.000
9/14/2020 10:00:00 AM,9/14/2020 6:00:00 AM,RTO,0.000
9/14/2020 10:00:00 AM,9/14/2020 6:00:00 AM,RFC,0.000
9/14/2020 9:00:00 AM,9/14/2020 5:00:00 AM,MIDATL,0.000
9/14/2020 9:00:00 AM,9/14/2020 5:00:00 AM,SOUTH,0.000
9/14/2020 9:00:00 AM,9/14/2020 5:00:00 AM,WEST,0.000
9/14/2020 9:00:00 AM,9/14/2020 5:00:00 AM,RTO,0.000
9/14/2020 9:00:00 AM,9/14/2020 5:00:00 AM,RFC,0.000
9/14/2020 8:00:00 AM,9/14/2020 4:00:00 AM,MIDATL,0.000
9/14/2020 8:00:00 AM,9/14/2020 4:00:00 AM,SOUTH,0.000
9/14/2020 8:00:00 AM,9/14/2020 4:00:00 AM,WEST,0.000
9/14/2020 8:00:00 AM,9/14/2020 4:00:00 AM,RTO,0.000
9/14/2020 8:00:00 AM,9/14/2020 4:00:00 AM,RFC,0.000
9/14/2020 7:00:00 AM,9/14/2020 3:00:00 AM,MIDATL,0.000
9/14/2020 7:00:00 AM,9/14/2020 3:00:00 AM,SOUTH,0.000
9/14/2020 7:00:00 AM,9/14/2020 3:00:00 AM,WEST,0.000
9/14/2020 7:00:00 AM,9/14/2020 3:00:00 AM,RTO,0.000
9/14/2020 7:00:00 AM,9/14/2020 3:00:00 AM,RFC,0.000
9/14/2020 6:00:00 AM,9/14/2020 2:00:00 AM,MIDATL,0.000
9/14/2020 6:00:00 AM,9/14/2020 2:00:00 AM,SOUTH,0.000
9/14/2020 6:00:00 AM,9/14/2020 2:00:00 AM,WEST,0.000
9/14/2020 6:00:00 AM,9/14/2020 2:00:00 AM,RTO,0.000
9/14/2020 6:00:00 AM,9/14/2020 2:00:00 AM,RFC,0.000
9/14/2020 5:00:00 AM,9/14/2020 1:00:00 AM,MIDATL,0.000
9/14/2020 5:00:00 AM,9/14/2020 1:00:00 AM,SOUTH,0.000
9/14/2020 5:00:00 AM,9/14/2020 1:00:00 AM,WEST,0.000
9/14/2020 5:00:00 AM,9/14/2020 1:00:00 AM,RTO,0.000
9/14/2020 5:00:00 AM,9/14/2020 1:00:00 AM,RFC,0.000
9/14/2020 4:00:00 AM,9/14/2020 12:00:00 AM,MIDATL,0.000
9/14/2020 4:00:00 AM,9/14/2020 12:00:00 AM,SOUTH,0.000
9/14/2020 4:00:00 AM,9/14/2020 12:00:00 AM,WEST,0.000
9/14/2020 4:00:00 AM,9/14/2020 12:00:00 AM,RTO,0.000
9/14/2020 4:00:00 AM,9/14/2020 12:00:00 AM,RFC,0.000
9/14/2020 3:00:00 AM,9/13/2020 11:00:00 PM,MIDATL,-0.173
